DATE,TOTAL
12-5-2014,245716983
12-5-2016,86841322
12-5-2017,432031808
12-6-2016,330000000
12-6-2017,36365228
12-6-2018,450000000
12-7-2015,354156879
12-7-2016,240000000
12-7-2017,46314850
12-7-2018,346500311
12-8-2014,53280484
12-8-2015,543337650
12-8-2016,350000000
12-8-2017,400000000
12-9-2014,84600000
12-9-2015,200000000
12-9-2016,101967288
2-1-2016,975000000
2-1-2017,449473339
2-1-2019,517375800
2-10-2015,14488097
2-10-2016,450000000
2-10-2017,19558839
2-11-2015,49000000
2-11-2016,150204370
2-11-2019,211996197
2-12-2015,990000000
2-12-2016,1040688650
2-12-2019,36668258
2-13-2015,49771971
2-13-2017,325868201
2-14-2017,540834051
2-14-2019,68177707
2-15-2017,13898620
2-16-2016,2552049258
2-16-2017,2500000000
2-17-2016,92737639
2-17-2017,11104800
2-18-2015,68961578
2-18-2016,504000000
2-19-2015,591245165
2-19-2016,34700000
2-19-2019,441761778
2-2-2015,14903984
2-2-2016,22756241
2-2-2017,2250000000
2-20-2015,1011111314
2-21-2017,41348229
2-21-2019,535000000
2-22-2016,5000000000
2-22-2017,875000000
2-22-2019,200000000
2-23-2015,32678236
2-23-2016,149886000
2-23-2017,58241459
2-24-2015,144044911
2-24-2016,125922873
2-24-2017,1066297129
2-25-2015,800000000
2-25-2016,128565957
2-25-2019,106378427
2-26-2015,130207500
2-26-2016,12725724536
2-26-2019,846030000
2-27-2015,1999812283
2-27-2017,678679386
2-27-2019,366206842
2-28-2017,1059239124
2-28-2019,1357144255
2-29-2016,769511730
2-3-2015,71630738
2-3-2016,97109000
2-3-2017,827608050
2-4-2015,279144933
2-4-2016,99200000
2-4-2019,153648855
2-5-2015,415000000
2-5-2016,80429313
2-5-2019,90345180
2-6-2015,14678835
2-6-2017,204242835
2-6-2019,225034247
2-7-2017,50542942
2-7-2019,406853897
2-8-2016,50181810
2-8-2017,423413136
2-8-2019,82510281
2-9-2015,302443626
2-9-2016,99000000
2-9-2017,3038000000
3-1-2016,156596386
3-1-2017,293247466
3-1-2019,340000000
3-10-2015,46143438
3-10-2016,51625305
3-11-2015,249000000
3-11-2016,461142760
3-12-2015,73400000
3-13-2015,713896061
3-13-2017,87242797
3-14-2016,461000000
3-14-2017,240000000
3-15-2016,896929889
3-15-2017,3276522609
3-16-2015,132660931
3-16-2016,1319651593
3-16-2017,68786952
3-17-2015,1734516083
3-17-2016,84538427
3-17-2017,99754556
3-18-2015,212625717
3-18-2016,91900000
3-19-2015,7000000000
3-19-2018,522324985
3-2-2015,430000000
3-2-2016,99000000
3-2-2017,162760750
3-20-2015,54036577
3-20-2017,36608865
3-20-2018,210710000
3-21-2016,231300000
3-21-2017,37347368
3-22-2016,243767232
3-22-2017,99000000
3-22-2018,321341763
3-23-2015,383033935
3-23-2016,35788624
3-23-2017,9864000000
3-23-2018,523148647
3-24-2015,528797459
3-24-2016,1527352469
3-24-2017,909394297
3-25-2015,851000000
3-25-2016,77172660
3-26-2015,58057125
3-26-2018,24503472
3-27-2015,485000000
3-27-2017,59233699
3-27-2018,175000000
3-28-2016,750000000
3-28-2017,4128000000
3-28-2018,99567165
3-29-2016,679772036
3-29-2017,116401920
3-29-2018,900000000
3-3-2015,1500000000
3-3-2016,500000000
3-3-2017,9864000000
3-30-2015,700000000
